audio_path,transcription
dataset_small/train/audio_files/vivoice_191331.wav,Và mình tin là đáp án của mình là chân lý.
dataset_small/train/audio_files/LSVSC_audio_09721.wav,Biết là cho trẻ bú sữa mẹ càng nhiều thì sức đề kháng của trẻ càng tốt trẻ càng khỏe mạnh.
dataset_small/train/audio_files/train_3149.wav,ông ta quyết định nhổ neo ra biển để tìm ra con đường tới châu á.

dataset_small/train/audio_files/A13segment44.wav,À alo
dataset_small/train/audio_files/audio_05290_man_1.wav,thì tội nặng gấp mười lần.
dataset_small/train/audio_files/vivoice_839990.wav,"Quả thực, mùa loài trong tự nhiên đều trân trọng khoảnh khắc hiện tại trong suốt quãng thời gian sống được hạn định."
dataset_small/train/audio_files/ddc41dab-109a-43a3-937f-9e2335ffb4fe.wav,em chưa nhận được khoản tiền mười triệu đồng mà anh đã hứa chuyển từ sáng hôm qua.
dataset_small/train/audio_files/vivoice_250472.wav,Điều này giúp bất kỳ ai cũng có thể giải phóng cảm xúc bị mắc kẹt.
dataset_small/train/audio_files/LSVSC_audio_00780.wav,bộ đội biên phòng và các đơn vị quân đội trên địa bàn sẵn sàng phương tiện như xe lội nước xuồng ca nô bảo đảm giao thông và cứu hộ cứu nạn khi ngập lụt khu vực bị chia cắt.
dataset_small/train/audio_files/audio_15712_man_1.wav,và theo như trong game thì người đã giết bốn đứa trẻ kia chính là william afton.
dataset_small/train/audio_files/LSVSC_audio_35049.wav,và cái từ Khát vọng chính là cái mong ước mạnh mẽ và cháy bỏng trong tôi lúc đó
dataset_small/train/audio_files/vivoice_6988.wav,Để giúp bạn giải quyết cân đói.
dataset_small/train/audio_files/vivoice_83725.wav,Vàng sẽ tuột khỏi tay người chủ liều lĩnh đầu tư với những ngành nghề mọ không nắm vững hoặc không có chuyên môn.
dataset_small/train/audio_files/audio_01341_man_1.wav,nhưng với việc bóng ma hậu gái mà ta đã gặp ở đầu trò chơi thì chắc chắn một trong số những hậu gái ở đây là kỹ giả mạo.
dataset_small/train/audio_files/audio_05204_man_1.wav,"và đây là hậu quả của một thứ nó gọi là compound interest hay ở việt nam chúng ta được biết đến với cái tên là lãi suất kép đó, hay là lãi kép."
dataset_small/train/audio_files/LSVSC_audio_32172.wav,Rồi tích lũy làm sao mà chúng ta vét được tất cả những trường hợp nguồn lây để trong cộng đồng thì bấy giờ ở cái số mà mới mắc mới lây nhiễm thì bắt đầu mới có thể có chiều hướng giảm xuống
dataset_small/train/audio_files/vivoice_318198.wav,"Nhẫn nhịn không phải là nhu nhược, nhẫn nhịn không phải là để mặc người khác trả đạp, ăn hiếp."
dataset_small/train/audio_files/vivoice_559125.wav,Khi nhận ra trần lý của chữ nhẫn bạn sẽ hiểu được rằng chịu thiệt chính là cách giúp bạn dưỡng đức.
dataset_small/train/audio_files/LSVSC_audio_38298.wav,Bối cảnh xã hội ngày hôm nay thì cũng sẽ có thể có những giá trị mới
dataset_small/train/audio_files/vivoice_343622.wav,Tại sao chúng ta không mở một cửa hàng mà mọi người có thể tự đến và tự chọn đồ?
dataset_small/train/audio_files/vivoice_507540.wav,Bạn hoàn toàn có thể kiểu như là nhìn trên cái bàn hay là cố tình lấy cái ly cà phê lên để uống.
dataset_small/train/audio_files/vivoice_92445.wav,"Ông ấy tin rằng chỉ bằng cách huy động sức mạnh của lý trí, con người mới có niềm vui hơn những người bình thường."
dataset_small/train/audio_files/audio_12648_man_1.wav,"hãy tập trung vào những điều thực sự quan trọng, tạo kết nối với người khác và sống tại hiện tại."
dataset_small/train/audio_files/LSVSC_audio_10987.wav,Tại nhà quốc hội chủ tịch quốc hội Vương Đình Huệ chủ trì buổi làm việc với ban thường vụ Tỉnh ủy Bến Tre.
dataset_small/train/audio_files/LSVSC_audio_27978.wav,"""Ừm, theo tôi được biết thì Trung tâm hiện có những cái khoá học miễn phí và cũng có cả những cái khoá học thu tiền được tổ chức thường xuyên và đều đặn hàng tháng ấy"""
dataset_small/train/audio_files/cskh_minimax2874.wav,Bạn không biết mặc gì hôm nay? Hãy thử chiếc váy này.
dataset_small/train/audio_files/vivoice_612801.wav,Đây sẽ là chỗ ngủ của em.
dataset_small/train/audio_files/audio_02486_man_1.wav,"gói cước hội viên cao cấp của phonos còn cho phép bạn truy cập vào tất cả các nội dung độc quyền hấp dẫn khác, như tóm tắt sách, truyện ngũ, thiền và nhiều hơn nữa."
